
level,need,sum
182 ,288570563 ,4645464157 
183 ,305884796 ,4934034720 
184 ,324237883 ,5239919516 
185 ,343692155 ,5564157399 
186 ,364313684 ,5907849554 
187 ,386172505 ,6272163238 
188 ,409342855 ,6658335743 
189 ,433903426 ,7067678598 
190 ,459937631 ,7501582024 
191 ,487533888 ,7961519655 
192 ,516785921 ,8449053543 
193 ,547793076 ,8965839464 
194 ,580660660 ,9513632540 
195 ,615500299 ,10094293200 
196 ,652430316 ,10709793499 
197 ,691576134 ,11362223815 
198 ,733070702 ,12053799949 
199 ,777054944 ,12786870651 
200 ,2207026470 ,13563925595 
201 ,2471869646 ,15770952065 
202 ,2768494003 ,18242821711 
203 ,3100713283 ,21011315714 
204 ,3472798876 ,24112028997 
205 ,3889534741 ,27584827873 
206 ,4356278909 ,31474362614 
207 ,4879032378 ,35830641523 
208 ,5464516263 ,40709673901 
209 ,6120258214 ,46174190164 
210 ,16830710088 ,52294448378 
211 ,18177166895 ,69125158466 
212 ,19631340246 ,87302325361 
213 ,21201847465 ,106933665607 
214 ,22897995262 ,128135513072 
215 ,24729834882 ,151033508334 
216 ,26708221672 ,175763343216 
217 ,28844879405 ,202471564888 
218 ,31152469757 ,231316444293 
219 ,33644667337 ,262468914050 
220 ,57195934473 ,296113581387 
221 ,60055731197 ,353309521860 
222 ,63058517756 ,413365253057 
223 ,66211443644 ,476423770813 
224 ,69522015826 ,542635214457
225 ,93854721366 ,612157230283
226 ,96670363007 ,706011951649 
227 ,99570473897 ,802682314656
228 ,102558000000 ,902252788553
229 ,105634000000 ,1004810376667 
230 ,174297000000 ,1110444692424
231 ,177783000000 ,1284741313423
232 ,181338000000 ,1462523866842
233 ,184965000000 ,1643862071330 
234 ,188664000000 ,1828827039907 
235 ,271971000000 ,2017491307856 
236 ,277410000000 ,2289461820020
237 ,282958000000 ,2566871742427 
238 ,288617000000 ,2849829863282 
239 ,294390000000 ,3138447146554
240 ,594667000000 ,3432836775491 
241 ,600614000000 ,4027503825943
242 ,606620000000 ,4628117546899
243 ,612686000000 ,5234734405064
244 ,618813000000 ,5847420461810
245 ,625001000000 ,6466233379123
246 ,631251000000 ,7091234425609
247 ,637564000000 ,7722485482559
248 ,643939000000 ,8360049050078 
249 ,650379000000 ,9003988253272 
250 ,1313760000000 ,9654366848497 
251 ,1326900000000 ,10968131610851
252 ,1340170000000 ,12295034020828
253 ,1353570000000 ,13635205454904
254 ,1367110000000 ,14988778603320
255 ,1380780000000 ,16355887483220
256 ,1394590000000 ,17736667451919
257 ,1408530000000 ,19131255220304 
258 ,1422620000000 ,20539788866372
259 ,1436850000000 ,21962407848900
260 ,2902430000000 ,23399253021253 
261 ,2931450000000 ,26301680269406 
262 ,2960770000000 ,29233131790040
263 ,2990370000000 ,32193897825880 
264 ,3020280000000 ,35184271522078
265 ,3050480000000 ,38204548955237 
266 ,3080990000000 ,41255029162727
267 ,3111790000000 ,44336014172291 
268 ,3142910000000 ,47447809031950 
269 ,3174340000000 ,50590721840205
270 ,6412170000000 ,53765063776542 
271 ,6476290000000 ,60177234487942
272 ,6541060000000 ,66653526906456
273 ,6606470000000 ,73194582249155 
274 ,6672530000000 ,79801048145280 
275 ,0,86473578700366
